#GRM32EC72A106KE05,,
#In Production,,
#2026/01/21,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC1Vrms,,
ESR_mOhm,3,
ESL_nH,0.5,
DC Bias[V],Capacitance[F],
0.0,1.000377E-5,
0.5,1.0004556644207483E-5,
1.0,9.994589144736188E-6,
1.5,9.974387559203447E-6,
2.0,9.944485577946502E-6,
2.5,9.905425940002714E-6,
3.0,9.857756202019259E-6,
3.5,9.802024868363762E-6,
4.0,9.738777884842261E-6,
4.5,9.668555493325224E-6,
5.0,9.591889440217146E-6,
5.5,9.509300528049927E-6,
6.0,9.421296496493124E-6,
6.5,9.328370216708087E-6,
7.0,9.230998181174325E-6,
7.5,9.129639269830485E-6,
8.0,9.024733772542146E-6,
8.5,8.916702647478391E-6,
9.0,8.80594699489459E-6,
9.5,8.692847726027809E-6,
10.0,8.577765407265313E-6,
10.5,8.461040260400473E-6,
11.0,8.342992300602766E-6,
11.5,8.223921594662601E-6,
12.0,8.104108623093978E-6,
12.5,7.983814730759701E-6,
13.0,7.863282651799843E-6,
13.5,7.742737095772564E-6,
14.0,7.62238538303957E-6,
14.5,7.5024181185310365E-6,
15.0,7.3830098940949075E-6,
15.5,7.2643200106633475E-6,
16.0,7.146493212447726E-6,
16.5,7.0296604262972146E-6,
17.0,6.91393950022178E-6,
17.5,6.7994359358855375E-6,
18.0,6.6862436106206135E-6,
18.5,6.574445485194863E-6,
19.0,6.464114294190154E-6,
19.5,6.355313216413189E-6,
20.0,6.248096523270287E-6,
20.5,6.142510203493768E-6,
21.0,6.038592563013674E-6,
21.5,5.936374799127485E-6,
22.0,5.835881548435745E-6,
22.5,5.737131408285965E-6,
23.0,5.640137431704657E-6,
23.5,5.544907596000408E-6,
24.0,5.451445245393304E-6,
24.5,5.359749508170069E-6,
25.0,5.269815688983388E-6,
25.5,5.181635637010317E-6,
26.0,5.095198090761034E-6,
26.5,5.010489000387999E-6,
27.0,4.927491828388534E-6,
27.5,4.8461878296234155E-6,
28.0,4.766556311591709E-6,
28.5,4.688574875909576E-6,
29.0,4.612219641939564E-6,
29.5,4.537465453508437E-6,
30.0,4.464286069636823E-6,
30.5,4.392654340184292E-6,
31.0,4.3225423672895546E-6,
31.5,4.253921653458317E-6,
32.0,4.186763237121659E-6,
32.5,4.121037816456165E-6,
33.0,4.056715862224157E-6,
33.5,3.993767720358572E-6,
34.0,3.93216370498278E-6,
34.5,3.87187418252144E-6,
35.0,3.812869647524365E-6,
35.5,3.755120790791708E-6,
36.0,3.6985985603560007E-6,
36.5,3.6432742158443543E-6,
37.0,3.589119376713094E-6,
37.5,3.536106064817069E-6,
38.0,3.4842067417469427E-6,
