#GRM31CC81E226ME11,,
#In Production,,
#2026/03/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.5Vrms,,
ESR_mOhm,3,
ESL_nH,0.5,
DC Bias[V],Capacitance[F],
0.0,2.1097333333333332E-5,
0.125,2.1444725883368997E-5,
0.25,2.1738864108984403E-5,
0.375,2.1981587875577172E-5,
0.5,2.2175022859786974E-5,
0.625,2.232151761057611E-5,
0.75,2.242358625742905E-5,
0.875,2.2483857118665967E-5,
1.0,2.2505027255430862E-5,
1.125,2.248982285449554E-5,
1.25,2.2440965200474367E-5,
1.375,2.2361141909917728E-5,
1.5,2.225298304067911E-5,
1.625,2.211904165481812E-5,
1.75,2.196177839746668E-5,
1.875,2.1783549653371085E-5,
2.0,2.1586598853618553E-5,
2.125,2.137305052426247E-5,
2.25,2.1144906693643952E-5,
2.375,2.090404530399554E-5,
2.5,2.0652220303765774E-5,
2.625,2.0391063128706494E-5,
2.75,2.0122085311038027E-5,
2.875,1.9846681986298868E-5,
3.0,1.9566136096200457E-5,
3.125,1.92816231126101E-5,
3.25,1.8994216132500224E-5,
3.375,1.8704891216168778E-5,
3.5,1.841453286130268E-5,
3.625,1.8123939523533505E-5,
3.75,1.7833829110126776E-5,
3.875,1.754484438746317E-5,
4.0,1.7257558255198326E-5,
4.125,1.6972478850503052E-5,
4.25,1.669005445482967E-5,
4.375,1.6410678183298677E-5,
4.5,1.6134692443272438E-5,
4.625,1.5862393154044715E-5,
4.75,1.5594033724038624E-5,
4.875,1.5329828785516346E-5,
5.0,1.506995768972977E-5,
5.125,1.4814567767744002E-5,
5.25,1.456377736395556E-5,
5.375,1.431767865067268E-5,
5.5,1.407634023309892E-5,
5.625,1.3839809554737014E-5,
5.75,1.360811511361811E-5,
5.875,1.3381268499982186E-5,
6.0,1.315926626604873E-5,
6.125,1.2942091638415674E-5,
6.25,1.2729716083402598E-5,
6.375,1.2522100735359043E-5,
6.5,1.231919769759332E-5,
6.625,1.2120951225184885E-5,
6.75,1.192729879847462E-5,
6.875,1.1738172095613474E-5,
7.0,1.1553497872051594E-5,
7.125,1.1373198754393504E-5,
7.25,1.1197193955595577E-5,
7.375,1.1025399918004488E-5,
7.5,1.0857730890321279E-5,
7.625,1.06940994441323E-5,
7.75,1.0534416935258748E-5,
7.875,1.0378593914773335E-5,
8.0,1.0226540494185644E-5,
8.125,1.0078166668928076E-5,
8.25,9.933382603979309E-6,
8.375,9.792098885120045E-6,
8.5,9.654226739069023E-6,
8.625,9.519678225444518E-6,
8.75,9.38836640328154E-6,
8.875,9.26020547458195E-6,
9.0,9.135110907166405E-6,
9.125,9.012999538913124E-6,
9.25,8.893789665264479E-6,
