#GRM188R61E106MA73
#In Production
#2019/08/29
#c_dcbias_capacitance
#capacitance, 25.0degC, AC1Vrms
ESR_mOhm,3,
ESL_nH,0.5,
DC Bias[V],Capacitance[F],
0.0,1.0012489999999999E-5
0.125,1.0024812617594186E-5
0.25,1.0010790630135714E-5
0.375,9.972075551357622E-6
0.5,9.910431639944209E-6
0.625,9.827699319283345E-6
0.75,9.72576168561019E-6
0.875,9.606514438073032E-6
1.0,9.471839416020237E-6
1.125,9.323581800820557E-6
1.25,9.163530932648483E-6
1.375,8.993404606680323E-6
1.5,8.814836647021542E-6
1.625,8.62936750879999E-6
1.75,8.438437627210935E-6
1.875,8.243383214682516E-6
2.0,8.045434201479035E-6
2.125,7.845714018759625E-6
2.25,7.645240934280341E-6
2.375,7.4449306676753225E-6
2.5,7.2456000329045616E-6
2.625,7.047971378575863E-6
2.75,6.852677621235474E-6
2.875,6.660267691401636E-6
3.0,6.471212236322465E-6
3.125,6.285909446596755E-6
3.25,6.104690895489588E-6
3.375,5.9278272997299165E-6
3.5,5.755534128635189E-6
3.625,5.587977004503673E-6
3.75,5.425276851355199E-6
3.875,5.267514761348484E-6
4.0,5.114736558660422E-6
4.125,4.966957049409067E-6
4.25,4.8241639534830785E-6
4.375,4.686321520059965E-6
4.5,4.5533738333082825E-6
4.625,4.425247818426255E-6
4.75,4.301855960915039E-6
4.875,4.1830987539535235E-6
5.0,4.068866890055965E-6
5.125,3.959043213965485E-6
5.25,3.853504454064075E-6
5.375,3.752122749551014E-6
5.5,3.6547669903316405E-6
5.625,3.561303986032762E-6
5.75,3.471599479874861E-6
5.875,3.3855190223309245E-6
6.0,3.3029287186260496E-6
6.125,3.2236958632122085E-6
6.25,3.1476894734142827E-6
6.375,3.074780733506961E-6
6.5,3.004843359562815E-6
6.625,2.937753894521812E-6
6.75,2.8733919420805813E-6
6.875,2.8116403471914996E-6
7.0,2.752385330201553E-6
7.125,2.695516580950713E-6
7.25,2.640927318490241E-6
7.375,2.5885143214725017E-6
7.5,2.538177933704447E-6
7.625,2.4898220488450757E-6
7.75,2.443354077760877E-6
7.875,2.39868490162983E-6
8.0,2.3557288135014994E-6
8.125,2.3144034506750906E-6
8.25,2.2746297199468017E-6
8.375,2.2363317174988036E-6
8.5,2.199436644953146E-6
8.625,2.1638747228912914E-6
8.75,2.1295791029419728E-6
8.875,2.096485779364483E-6
9.0,2.064533500898698E-6
9.125,2.033663683515609E-6
9.25,2.003820324581189E-6
9.375,1.974949918839896E-6
9.5,1.9470013765309504E-6
9.625,1.919925943869376E-6
9.75,1.893677126053122E-6
9.875,1.8682106128965983E-6
10.0,1.8434842071384935E-6
10.125,1.8194577554270211E-6
10.25,1.7960930819478818E-6
10.375,1.7733539246285564E-6
10.5,1.751205873826464E-6
10.625,1.7296163133874239E-6
10.75,1.7085543639442225E-6
10.875,1.6879908283124638E-6
11.0,1.6678981388320108E-6
11.125,1.6482503064964756E-6
11.25,1.6290228717105732E-6
11.375,1.610192856514714E-6
11.5,1.5917387181186318E-6
11.625,1.5736403035897935E-6
11.75,1.5558788055483485E-6
11.875,1.5384367187280762E-6
12.0,1.521297797271496E-6
12.125,1.5044470126376547E-6
12.25,1.4878705120116278E-6
12.375,1.4715555771172521E-6
12.5,1.4554905833460078E-6
12.625,1.4396649591284833E-6
12.75,1.4240691454872837E-6
12.875,1.4086945557231711E-6
13.0,1.393533535199297E-6
13.125,1.378579321200707E-6
13.25,1.3638260028584322E-6
13.375,1.3492684811391773E-6
13.5,1.3349024289123608E-6
13.625,1.3207242511164947E-6
13.75,1.3067310450561542E-6
13.875,1.2929205608688474E-6
14.0,1.2792911622085906E-6
14.125,1.2658417871990162E-6
14.25,1.252571909713659E-6
14.375,1.2394815010451435E-6
14.5,1.2265709920273887E-6
14.625,1.213841235676268E-6
14.75,1.2012934704146991E-6
14.875,1.1889292839466146E-6
15.0,1.1767505778426272E-6
15.125,1.1647595328966466E-6
15.25,1.152958575308401E-6
15.375,1.1413503437418606E-6
15.5,1.1299376573028228E-6
15.625,1.1187234844724062E-6
15.75,1.107710913025043E-6
15.875,1.0969031209510523E-6
16.0,1.086303348395107E-6
16.125,1.0759148706119634E-6
16.25,1.0657409719309882E-6
16.375,1.0557849207106791E-6
16.5,1.0460499452537493E-6
16.625,1.036539210642618E-6
16.75,1.0272557964443567E-6
16.875,1.0182026752232196E-6
